Untuned age model for the LR04  stack

    age in kyr,    benthic d18O
  6.2716083e+002  4.3668785e+000
  6.2881479e+002  4.4412421e+000
  6.3046874e+002  4.4076240e+000
  6.3212269e+002  4.2911962e+000
  6.3377664e+002  4.3579890e+000
  6.3543059e+002  4.1638207e+000
  6.3708454e+002  4.3653994e+000
  6.3873849e+002  4.1070651e+000
  6.4039244e+002  4.0418572e+000
  6.4204639e+002  4.0819698e+000
  6.4370034e+002  4.1079014e+000
  6.4535430e+002  4.0731491e+000
  6.4773039e+002  4.1501202e+000
  6.5010649e+002  4.1297353e+000
  6.5248259e+002  3.9261685e+000
  6.5485869e+002  3.9448908e+000
  6.5723479e+002  3.9951916e+000
  6.5961088e+002  4.1588707e+000
  6.6198698e+002  3.9408525e+000
  6.6436308e+002  3.8594272e+000
  6.6673918e+002  4.0092220e+000
  6.6911528e+002  3.7768712e+000
  6.7149138e+002  3.8795183e+000
  6.7386747e+002  3.8211307e+000
  6.7624357e+002  3.7578058e+000
  6.7854305e+002  3.6205764e+000
  6.8084253e+002  3.5039553e+000
  6.8314201e+002  3.5092245e+000
  6.8544149e+002  3.3946984e+000
  6.8774097e+002  3.4867939e+000
  6.9004044e+002  3.3082953e+000
  6.9233992e+002  3.0623341e+000
  6.9463940e+002  3.0725851e+000
  6.9693888e+002  2.9996699e+000
  6.9923836e+002  2.8589613e+000
  7.0153784e+002  2.9300355e+000
  7.0383732e+002  3.0131791e+000
  7.0613679e+002  3.1216998e+000
  7.0792126e+002  3.1955054e+000
  7.0970573e+002  3.2903903e+000
  7.1149020e+002  3.3867744e+000
  7.1327467e+002  3.3354885e+000
  7.1505913e+002  3.4206787e+000
  7.1684360e+002  3.6460065e+000
  7.1862807e+002  3.9729890e+000
  7.2041254e+002  4.1063915e+000
  7.2219700e+002  4.0233735e+000
  7.2398147e+002  4.0148165e+000
  7.2576594e+002  3.8034353e+000
  7.2755041e+002  3.6759340e+000
  7.2933488e+002  3.5226803e+000
  7.3123913e+002  3.5169011e+000
  7.3314338e+002  3.3758381e+000
  7.3504763e+002  3.5141080e+000
  7.3695189e+002  3.5529159e+000
  7.3885614e+002  3.5731835e+000
  7.4076039e+002  3.4714201e+000
  7.4266464e+002  3.5343422e+000
  7.4456890e+002  3.8362758e+000
  7.4647315e+002  4.0273233e+000
  7.4837740e+002  3.9465377e+000
  7.5028165e+002  3.9566545e+000
  7.5218591e+002  3.8388240e+000
  7.5409016e+002  3.9108977e+000
  7.5608242e+002  3.9458467e+000
  7.5807468e+002  3.6199539e+000
  7.6006694e+002  3.6868711e+000
  7.6205920e+002  3.4690302e+000
  7.6405146e+002  3.6394695e+000
  7.6604373e+002  3.4690392e+000
  7.6803599e+002  3.4283985e+000
  7.7002825e+002  3.3463912e+000
  7.7202051e+002  3.2254352e+000
  7.7401277e+002  3.1171982e+000
  7.7600503e+002  3.0026680e+000
  7.7799729e+002  2.9219607e+000
  7.7998955e+002  2.8371631e+000
  7.8220638e+002  2.8987052e+000
  7.8442320e+002  2.9055903e+000
  7.8664002e+002  3.0422732e+000
  7.8885684e+002  3.0618497e+000
  7.9107366e+002  3.5188226e+000
  7.9329048e+002  3.6278320e+000
  7.9550730e+002  4.0950369e+000
  7.9772412e+002  4.0267659e+000
  7.9994095e+002  4.0404559e+000
  8.0215777e+002  4.0362959e+000
  8.0437459e+002  4.0890747e+000
  8.0659141e+002  3.9081362e+000
  8.0880823e+002  3.8914411e+000
  8.1077473e+002  3.8478476e+000
  8.1274123e+002  3.6680550e+000
  8.1470772e+002  3.7438852e+000
  8.1667422e+002  3.4843215e+000
  8.1864072e+002  3.4376367e+000
  8.2060722e+002  3.2629303e+000
  8.2257371e+002  3.3168660e+000
  8.2454021e+002  3.2596249e+000
  8.2650671e+002  3.2811249e+000
  8.2847321e+002  3.4679031e+000
  8.3043970e+002  3.3064873e+000
  8.3240620e+002  3.4013596e+000
  8.3437270e+002  3.4336214e+000
  8.3653192e+002  3.3139857e+000
  8.3869114e+002  3.1753346e+000
  8.4085036e+002  3.3482660e+000
  8.4300958e+002  3.3839512e+000
  8.4516880e+002  3.1666094e+000
  8.4732802e+002  3.0339484e+000
  8.4948724e+002  2.9364607e+000
  8.5164646e+002  2.9864886e+000
  8.5380568e+002  2.8575553e+000
  8.5596490e+002  3.0132368e+000
  8.5812412e+002  2.9886889e+000
